u50,(p193,0.0017039258451472187)
u50,(p192,0.0016142455375078918)
u52,(p193,0.0010223555070883314)
u52,(p192,9.685473225047352E-4)
u53,(p193,0.0017039258451472187)
u53,(p192,0.0016142455375078918)
u53,(p193,0.0011869524254630966)
u53,(p192,0.0011244812451755655)
u56,(p193,8.902143190973225E-4)
u56,(p192,8.433609338816742E-4)
u70,(p230,0.010790479713898139)
u70,(p232,0.009248982611912693)
u70,(p197,0.005259063118774692)
u70,(p195,3.286914449234181E-4)
u70,(p196,3.286914449234181E-4)
u70,(p192,2.767927957249836E-4)
u71,(p153,0.8333333333333334)
u71,(p159,0.8333333333333334)
u71,(p212,0.8333333333333334)
u71,(p181,0.8333333333333334)
u71,(p155,0.5714285714285713)
u71,(p177,0.5714285714285713)
u71,(p214,0.5714285714285713)
u71,(p183,0.5714285714285713)
u71,(p179,0.3389830508474576)
u71,(p209,0.33898305084745756)
u71,(p150,0.33898305084745756)
u71,(p138,0.33898305084745756)
u71,(p151,0.33898305084745756)
u71,(p139,0.33898305084745756)
u71,(p210,0.33898305084745756)
u71,(p178,0.33898305084745756)
u71,(p218,0.33898305084745756)
u71,(p96,0.2777777777777778)
u71,(p40,0.2777777777777778)
u71,(p64,0.2777777777777778)
u71,(p66,0.2777777777777778)
u71,(p68,0.2777777777777778)
u71,(p101,0.2777777777777778)
u71,(p69,0.2777777777777778)
u71,(p103,0.2777777777777778)
u71,(p105,0.2777777777777778)
u71,(p31,0.2777777777777778)
u71,(p32,0.2777777777777778)
u71,(p36,0.2777777777777778)
u71,(p38,0.2777777777777778)
u71,(p59,0.2777777777777778)
u71,(p97,0.27777777777777773)
u71,(p99,0.27777777777777773)
u71,(p43,0.27777777777777773)
u71,(p60,0.27777777777777773)
u71,(p62,0.27777777777777773)
u71,(p108,0.27777777777777773)
u71,(p34,0.27777777777777773)
u71,(p70,0.27777777777777773)
u71,(p179,0.04708097928436913)
u71,(p150,0.04708097928436912)
u71,(p139,0.04708097928436912)
u71,(p178,0.04708097928436912)
u71,(p209,0.047080979284369114)
u71,(p138,0.047080979284369114)
u71,(p151,0.047080979284369114)
u71,(p210,0.047080979284369114)
u71,(p218,0.047080979284369114)
u71,(p197,0.028635062042634437)
u71,(p118,0.011948224361101894)
